strip,number,expected,category,color temp,lux,R,G,B,C,R_clear,G_clear,B_clear,R_gamma,G_gamma,B_gamma,H_360,H,S,V
4,4_16,4,pH,5578,3271,4839,5015,4199,13996,88.164,91.371,76.504,18.1,19.791,12.695,72,0.2,0.1648,91
4,4_16,4,protein,5502,4757,7925,7709,6609,21973,91.971,89.464,76.698,20.117,18.774,12.776,52,0.1444,0.1648,91
4,4_16,4,glucose,3838,2493,5002,4102,3220,12207,104.49,85.689,67.265,27.677,16.856,9.203,29.19,0.0811,0.3558,104
4,4_16,4,ketone,5238,2815,7924,6116,5828,19373,104.301,80.503,76.712,27.552,14.42,12.782,8.57,0.0238,0.2692,104
5,5_16,3,blood,4941,3835,4389,5060,3724,13082,85.552,98.632,72.59,16.789,23.96,11.133,90,0.25,0.2653,98
5,5_16,5,pH,6679,3723,6689,6542,6054,18923,90.139,88.158,81.582,19.13,18.096,14.908,46.67,0.1296,0.1,90
5,5_16,5,protein,5665,3612,4242,5013,3993,13099,82.58,97.589,77.732,15.368,23.331,13.211,105,0.2917,0.2062,97
5,5_16,5,glucose,4542,3036,6375,5348,4557,15872,102.421,85.921,73.213,26.328,16.97,11.374,24.83,0.069,0.2843,102
5,5_16,5,ketone,5725,4057,8332,7416,6753,22046,96.374,85.779,78.11,22.612,16.9,13.372,23.33,0.0648,0.1875,96
6,6_16,4,blood,6083,3114,5019,5081,4475,14597,87.679,88.762,78.175,17.851,18.408,13.4,66,0.1833,0.1136,88
6,6_16,6,protein,7089,3024,4069,4706,4211,13025,79.662,92.133,82.442,14.046,20.206,15.304,133.85,0.3718,0.1413,92
6,6_16,6,glucose,5288,3624,7716,6652,5970,19981,98.473,84.894,76.19,23.863,16.467,12.566,21.82,0.0606,0.2245,98
1,1_17,1,blood,4697,5079,9873,8620,7270,25539,98.579,86.068,72.589,23.928,17.043,11.133,32.31,0.0897,0.2653,98
1,1_17,1,pH,1983,1914,8562,4855,4056,17124,127.5,72.298,60.399,45.521,11.022,7.031,10.75,0.0299,0.5276,127
1,1_17,1,protein,4321,5271,9187,8240,6492,23653,99.044,88.834,69.989,24.211,18.446,10.163,38,0.1056,0.303,99
1,1_17,1,glucose,10060,3017,4459,5260,5243,14845,76.594,90.354,90.062,12.733,19.244,19.089,180,0.5,0.1556,90
1,1_17,1,ketone,5403,4740,9405,8398,7461,25010,95.893,85.625,76.072,22.331,16.825,12.517,28.42,0.0789,0.2,95
2,2_17,2,pH,2409,3286,9296,6014,4356,19436,121.963,78.904,57.151,40.739,13.715,6.123,19.69,0.0547,0.5289,121
2,2_17,2,protein,4437,5150,8679,7958,6275,22660,97.667,89.554,70.615,23.378,18.821,10.391,42.22,0.1173,0.2784,97
2,2_17,2,glucose,5613,3065,4438,4659,3890,12840,88.138,92.527,77.255,18.086,20.422,13.009,76,0.2111,0.163,92
2,2_17,2,ketone,4318,3685,9327,7210,6376,22538,105.528,81.576,72.139,28.37,14.905,10.962,16.36,0.0455,0.3143,105
3,3_17,3,pH,3991,4126,7346,6390,4884,18374,101.95,88.682,67.782,26.026,18.367,9.38,37.06,0.1029,0.3366,101
3,3_17,3,protein,4914,5025,8732,8102,6733,23246,95.787,88.876,73.859,22.269,18.467,11.626,40.91,0.1136,0.2316,95
3,3_17,3,glucose,4586,3392,5033,4947,3800,13538,94.801,93.181,71.576,21.701,20.785,10.749,57.39,0.1594,0.2447,94
3,3_17,3,ketone,4822,3959,9403,7611,6832,23340,102.732,83.154,74.643,26.528,15.637,11.937,19.29,0.0536,0.2745,102
4,4_17,2,blood,4719,4963,8350,7786,6305,22389,95.103,88.679,71.811,21.874,18.365,10.837,42.5,0.1181,0.2526,95
4,4_17,4,pH,5426,2583,3402,3725,2994,10306,84.175,92.167,74.08,16.121,20.225,11.714,86.67,0.2407,0.1957,92
4,4_17,4,protein,5325,4247,6330,6459,5318,17982,89.765,91.594,75.414,18.932,19.912,12.248,67.5,0.1875,0.1758,91
4,4_17,4,glucose,5377,4441,8454,7682,6748,22578,95.481,86.762,76.213,22.092,17.388,12.575,31.58,0.0877,0.2,95
4,4_17,4,ketone,4289,1388,6361,4135,4198,14331,113.185,73.577,74.698,33.8,11.516,11.959,358.5,0.9958,0.354,113
5,5_17,3,blood,4768,3673,3679,4532,3122,11168,84.003,103.48,71.285,16.039,27.013,10.64,95.62,0.2656,0.3107,103
5,5_17,5,pH,8467,2508,4160,4447,4318,12566,84.418,90.242,87.625,16.238,19.185,17.824,150,0.4167,0.0667,90
5,5_17,5,protein,5710,4730,7886,7735,6719,21951,91.61,89.856,78.053,19.92,18.98,13.348,50.77,0.141,0.1429,91
5,5_17,5,glucose,3551,1990,4592,3507,2807,10562,110.865,84.67,67.77,32.094,16.359,9.376,23.72,0.0659,0.3909,110
5,5_17,5,ketone,5831,3059,6951,5944,5555,17917,98.929,84.597,79.06,24.14,16.324,13.783,15.79,0.0439,0.1939,98
6,6_17,4,blood,5959,3886,6762,6557,5831,19043,90.548,87.803,78.081,19.348,17.915,13.36,45,0.125,0.1333,90
6,6_17,6,protein,6541,3712,5695,6013,5369,16918,85.839,90.632,80.925,16.93,19.393,14.61,90,0.25,0.1111,90
6,6_17,6,glucose,5621,4161,8291,7451,6705,22083,95.739,86.039,77.425,22.241,17.029,13.081,30,0.0833,0.1895,95
1,1_18,1,blood,2824,4478,9055,6759,4440,20371,113.349,84.608,55.579,33.922,16.329,5.711,30,0.0833,0.5133,113
1,1_18,1,pH,3302,3043,9217,6368,5486,20726,113.4,78.348,67.496,33.961,13.474,9.282,14.35,0.0399,0.4071,113
1,1_18,1,protein,3213,4763,7419,6379,3957,17850,105.986,91.129,56.529,28.679,19.66,5.958,42.86,0.119,0.4667,105
1,1_18,1,glucose,8462,3432,5439,5960,5751,16971,81.724,89.553,86.412,14.973,18.821,17.214,157.5,0.4375,0.0899,89
1,1_18,1,ketone,5590,4908,9591,8685,7769,25754,94.964,85.993,76.924,21.794,17.006,12.87,30,0.0833,0.1915,94
2,2_18,2,pH,2338,3182,9146,5839,4186,18932,123.19,78.647,56.382,41.771,13.603,5.92,19.7,0.0547,0.5447,123
2,2_18,2,protein,4419,5102,8586,7870,6191,22390,97.786,89.632,70.509,23.449,18.862,10.353,42.22,0.1173,0.2784,97
2,2_18,2,glucose,5586,3029,4374,4593,3825,12635,88.276,92.696,77.196,18.157,20.516,12.985,76,0.2111,0.163,92
2,2_18,2,ketone,4238,3572,9187,7035,6215,22058,106.206,81.328,71.848,28.828,14.792,10.851,17.14,0.0476,0.3302,106
3,3_18,3,pH,4564,4355,8124,7171,5910,21008,98.611,87.043,71.737,23.947,17.53,10.809,35.56,0.0988,0.2755,98
3,3_18,3,protein,3693,4328,6051,5728,3754,15471,99.735,94.411,61.875,24.636,21.478,7.468,52.11,0.1447,0.3838,99
3,3_18,3,glucose,5032,4096,6777,6473,5356,18201,94.947,90.688,75.039,21.784,19.423,12.096,47.37,0.1316,0.2021,94
3,3_18,3,ketone,3072,2065,7652,4957,4474,16606,117.503,76.119,68.702,37.116,12.536,9.702,9.8,0.0272,0.4188,117
4,4_18,2,blood,4323,4663,7250,6852,5189,19324,95.671,90.419,68.474,22.202,19.279,9.622,48.89,0.1358,0.2842,95
4,4_18,4,pH,5517,4425,7822,7399,6440,21444,93.015,87.985,76.581,20.693,18.008,12.727,38.82,0.1078,0.1828,93
4,4_18,4,protein,5193,3773,5064,5423,4293,14786,87.334,93.525,74.037,17.677,20.978,11.697,78.95,0.2193,0.2043,93
4,4_18,4,glucose,5079,4088,7893,7037,6088,20687,97.294,86.742,75.044,23.155,17.379,12.099,30,0.0833,0.2268,97
4,4_18,4,ketone,2891,688,5568,3157,3398,11744,120.899,68.549,73.782,39.856,9.648,11.596,354.23,0.984,0.4333,120
5,5_18,3,blood,4830,3709,4017,4746,3385,11960,85.647,101.19,72.172,16.835,25.544,10.974,93.1,0.2586,0.2871,101
5,5_18,5,pH,6915,3393,6007,5961,5554,17131,89.416,88.731,82.673,18.749,18.392,15.412,51.43,0.1429,0.0787,89
5,5_18,5,protein,5604,3573,4107,4900,3862,12638,82.868,98.868,77.925,15.503,24.104,13.293,105.71,0.2937,0.2143,98
5,5_18,5,glucose,4324,2782,5842,4846,4057,14279,104.329,86.542,72.452,27.571,17.278,11.08,26.25,0.0729,0.3077,104
5,5_18,5,ketone,5734,3824,7962,7046,6438,20977,96.787,85.652,78.261,22.855,16.838,13.437,23.33,0.0648,0.1875,96
6,6_18,4,blood,6596,1911,2400,2839,2446,7916,77.312,91.453,78.794,13.033,19.835,13.667,124.29,0.3452,0.1538,91
6,6_18,6,protein,5846,4301,7748,7358,6553,21398,92.333,87.685,78.092,20.316,17.855,13.365,38.57,0.1071,0.1522,92
6,6_18,6,glucose,4022,1613,4647,3392,3049,10994,107.785,78.676,70.72,29.911,13.616,10.43,12.97,0.036,0.3458,107
1,1_19,1,blood,3278,4743,9347,7384,5296,21863,109.019,86.124,61.77,30.775,17.07,7.437,31.25,0.0868,0.4404,109
1,1_19,1,pH,4280,3891,9461,7406,6457,22908,105.315,82.44,71.876,28.227,15.303,10.862,19.41,0.0539,0.3238,105
1,1_19,1,protein,3344,4861,7668,6651,4299,18558,105.364,91.389,59.071,28.26,19.801,6.651,41.74,0.1159,0.4381,105
1,1_19,1,glucose,7181,4177,7171,7284,6820,20924,87.393,88.77,83.115,17.706,18.412,15.618,72,0.2,0.0568,88
1,1_19,1,ketone,5143,4138,8500,7397,6527,22345,97.002,84.414,74.486,22.982,16.236,11.875,26.09,0.0725,0.2371,97
2,2_19,2,pH,3371,4031,9713,7217,5747,22357,110.785,82.316,65.549,32.036,15.246,8.627,22.67,0.063,0.4091,110
2,2_19,2,protein,4749,4750,8911,7922,6641,23195,97.965,87.092,73.009,23.557,17.555,11.295,35,0.0972,0.2474,97
2,2_19,2,glucose,5669,3559,5626,5658,4842,15883,90.325,90.839,77.738,19.229,19.504,13.214,60,0.1667,0.1444,90
2,2_19,2,ketone,5027,4347,9577,8055,7182,24450,99.883,84.009,74.904,24.727,16.042,12.042,24,0.0667,0.2525,99
3,3_19,3,pH,4218,4198,7589,6657,5253,19320,100.165,87.864,69.333,24.902,17.946,9.926,34.84,0.0968,0.31,100
3,3_19,3,protein,5017,4773,8479,7827,6596,22638,95.51,88.165,74.299,22.108,18.1,11.8,40,0.1111,0.2211,95
3,3_19,3,glucose,4806,3656,5662,5519,4394,15294,94.404,92.019,73.262,21.474,20.144,11.393,54.29,0.1508,0.2234,94
3,3_19,3,ketone,5036,4158,9436,7844,7049,23850,100.888,83.867,75.367,25.354,15.974,12.229,19.2,0.0533,0.25,100
4,4_19,2,blood,5051,4958,8694,8087,6808,23454,94.524,87.925,74.019,21.543,17.977,11.69,39,0.1083,0.2128,94
4,4_19,4,pH,5534,2898,4060,4322,3559,12013,86.182,91.743,75.547,17.099,19.993,12.302,78.75,0.2188,0.1758,91
4,4_19,4,protein,5465,4561,7362,7262,6163,20569,91.269,90.029,76.405,19.735,19.072,12.654,56,0.1556,0.1648,91
4,4_19,4,glucose,3752,2385,4782,3899,3028,11610,105.031,85.637,66.506,28.037,16.83,8.945,29.23,0.0812,0.3714,105
4,4_19,4,ketone,5001,2220,7191,5254,5106,17044,107.587,78.607,76.392,29.774,13.586,12.649,3.87,0.0108,0.2897,107
5,5_19,3,blood,5132,4179,5630,5998,4727,16087,89.243,95.076,74.929,18.658,21.858,12.052,77.14,0.2143,0.2211,95
5,5_19,5,pH,6107,4174,7554,7225,6527,20958,91.911,87.908,79.415,20.084,17.968,13.938,40,0.1111,0.1319,91
5,5_19,5,protein,5664,3797,4868,5472,4453,14566,85.222,95.796,77.957,16.627,22.274,13.307,93.33,0.2593,0.1895,95
5,5_19,5,glucose,5075,3872,7737,6794,5928,19987,98.711,86.68,75.631,24.008,17.347,12.336,28.7,0.0797,0.2347,98
5,5_19,5,ketone,6293,1002,3857,2757,2865,9002,109.257,78.098,81.157,30.943,13.367,14.715,354.19,0.9839,0.2844,109
6,6_19,4,blood,6039,3441,5771,5716,5065,16496,89.21,88.36,78.296,18.641,18.2,13.452,54.55,0.1515,0.1236,89
6,6_19,6,protein,6747,3370,4884,5356,4779,14925,83.445,91.51,81.651,15.774,19.866,14.94,108,0.3,0.1099,91
6,6_19,6,glucose,5467,3928,8050,7104,6381,21146,97.075,85.667,76.949,23.025,16.845,12.881,25.71,0.0714,0.2165,97
1,1_20,1,blood,2964,4550,9100,6929,4688,20652,112.362,85.556,57.885,33.189,16.79,6.322,30.55,0.0848,0.4911,112
1,1_20,1,pH,3778,3476,9421,6922,5998,21904,109.677,80.584,69.827,31.241,14.456,10.104,16.5,0.0458,0.367,109
1,1_20,1,protein,3282,4918,7653,6633,4189,18423,105.928,91.81,57.982,28.64,20.029,6.348,42.5,0.1181,0.4571,105
1,1_20,1,glucose,7959,3734,6091,6490,6192,18472,84.084,89.592,85.479,16.078,18.842,16.753,132,0.3667,0.0562,89
1,1_20,1,ketone,5705,4860,9368,8573,7692,25304,94.406,86.394,77.516,21.475,17.205,13.119,31.76,0.0882,0.1809,94
2,2_20,2,pH,4318,4551,9770,8031,6767,24261,102.69,84.411,71.126,26.501,16.235,10.581,25.16,0.0699,0.3039,102
2,2_20,2,protein,3576,4598,6858,6234,4119,17293,101.127,91.926,60.738,25.504,20.092,7.13,45.37,0.126,0.4059,101
2,2_20,2,glucose,5750,4238,7292,7054,6186,20217,91.975,88.973,78.025,20.119,18.518,13.336,46.15,0.1282,0.1429,91
2,2_20,2,ketone,3288,2650,8549,5803,5101,19249,113.252,76.875,67.575,33.85,12.85,9.309,11.74,0.0326,0.4071,113
3,3_20,3,pH,4928,4684,8626,7800,6594,22750,96.687,87.429,73.911,22.796,17.724,11.647,36.52,0.1014,0.2396,96
3,3_20,3,protein,3834,4459,6372,6044,4115,16438,98.848,93.76,63.835,24.091,21.11,8.074,51.43,0.1429,0.3571,98
3,3_20,3,glucose,5209,4357,7399,7039,5944,19988,94.394,89.801,75.831,21.468,18.952,12.418,44.21,0.1228,0.2021,94
3,3_20,3,ketone,3145,2135,7816,5100,4614,17097,116.575,76.066,68.817,36.387,12.515,9.743,10,0.0278,0.4138,116
4,4_20,2,blood,4760,4954,8308,7776,6314,22308,94.968,88.886,72.175,21.796,18.473,10.975,43.64,0.1212,0.234,94
4,4_20,4,pH,5513,2726,3561,3933,3177,10745,84.51,93.338,75.396,16.282,20.873,12.241,90,0.25,0.1935,93
4,4_20,4,protein,5388,4345,6591,6685,5555,18638,90.176,91.462,76.002,19.15,19.84,12.488,64,0.1778,0.1648,91
4,4_20,4,glucose,5409,4465,8412,7690,6751,22503,95.323,87.142,76.501,22.001,17.579,12.694,34.74,0.0965,0.2,95
4,4_20,4,ketone,4403,1475,6424,4241,4280,14464,113.255,74.769,75.456,33.852,11.988,12.265,358.46,0.9957,0.3451,113
5,5_20,3,blood,4977,3764,4394,5020,3733,13114,85.441,97.613,72.588,16.734,23.346,11.133,88.8,0.2467,0.2577,97
5,5_20,5,pH,6578,3794,6859,6667,6151,19350,90.39,87.86,81.06,19.264,17.944,14.671,40,0.1111,0.1,90
5,5_20,5,protein,5708,3594,4312,5044,4053,13308,82.624,96.65,77.661,15.389,22.774,13.181,104.21,0.2895,0.1979,96
5,5_20,5,glucose,4688,3146,6576,5567,4789,16573,101.181,85.656,73.686,25.538,16.84,11.558,25.71,0.0714,0.2772,101
5,5_20,5,ketone,5750,3991,8169,7288,6640,21687,96.053,85.694,78.074,22.424,16.858,13.357,23.33,0.0648,0.1875,96
6,6_20,4,blood,5910,4108,7342,7015,6258,20471,91.457,87.383,77.954,19.837,17.702,13.305,42.86,0.119,0.1538,91
6,6_20,6,protein,6335,4022,6572,6667,5966,19003,88.189,89.464,80.057,18.112,18.774,14.221,66.67,0.1852,0.1011,89
6,6_20,6,glucose,3358,1213,4015,2719,2425,8964,114.215,77.348,68.984,34.574,13.048,9.802,11.74,0.0326,0.4035,114
1,1_21,1,blood,3940,4968,9718,8104,6377,24009,103.215,86.073,67.73,26.841,17.045,9.363,31.67,0.088,0.3495,103
1,1_21,1,pH,1620,1315,8146,4030,3280,15138,137.22,67.885,55.252,54.699,9.416,5.627,8.78,0.0244,0.5985,137
1,1_21,1,protein,3822,5074,8373,7433,5382,21008,101.633,90.223,65.328,25.824,19.175,8.554,41.67,0.1157,0.3564,101
1,1_21,1,glucose,6377,4626,8293,8042,7343,23328,90.651,87.908,80.267,19.403,17.968,14.315,42,0.1167,0.1111,90
1,1_21,1,ketone,5241,4298,8726,7663,6782,23094,96.351,84.614,74.886,22.599,16.332,12.035,27.27,0.0758,0.2292,96
2,2_21,2,pH,2175,3029,9060,5595,3907,18356,125.861,77.725,54.276,44.072,13.208,5.382,19.44,0.054,0.568,125
2,2_21,2,protein,4241,4999,8166,7503,5727,21192,98.26,90.282,68.912,23.735,19.206,9.776,44,0.1222,0.3061,98
2,2_21,2,ketone,3932,3233,8882,6552,5771,20872,108.514,80.048,70.506,30.42,14.217,10.352,15.79,0.0439,0.3519,108
3,3_21,3,pH,3491,3614,6344,5340,3763,15368,105.265,88.606,62.439,28.194,18.327,7.64,36.28,0.1008,0.4095,105
3,3_21,3,protein,4611,4988,8211,7689,6123,21722,96.391,90.263,71.879,22.622,19.196,10.863,45.6,0.1267,0.2604,96
3,3_21,3,glucose,4460,3207,4515,4519,3360,12165,94.642,94.726,70.432,21.61,21.658,10.324,60,0.1667,0.2553,94
3,3_21,3,ketone,4217,3151,8633,6464,5804,20380,108.018,80.879,72.621,30.073,14.589,11.145,13.33,0.037,0.3333,108
4,4_21,2,blood,3801,4316,6048,5774,3871,15947,96.71,92.329,61.899,22.81,20.313,7.476,53.14,0.1476,0.3646,96
4,4_21,4,pH,5604,3854,6292,6209,5332,17701,90.642,89.447,76.813,19.398,18.765,12.824,55.71,0.1548,0.1556,90
4,4_21,4,protein,5608,4557,7948,7595,6626,21907,92.516,88.407,77.127,20.416,18.224,12.956,44,0.1222,0.163,92
4,4_21,4,glucose,4296,2962,5838,4961,4061,14677,101.43,86.193,70.556,25.695,17.105,10.37,30.97,0.086,0.3069,101
4,4_21,4,ketone,5505,3593,8601,7122,6633,21930,100.012,82.814,77.128,24.806,15.477,12.956,13.04,0.0362,0.23,100
5,5_21,3,blood,4817,3569,3642,4452,3108,11173,83.121,101.607,70.934,15.621,25.808,10.509,94.84,0.2634,0.3069,101
5,5_21,5,pH,7659,2936,5062,5198,4952,14899,86.637,88.965,84.755,17.326,18.513,16.4,90,0.25,0.0455,88
5,5_21,5,protein,5826,4593,7935,7683,6773,22079,91.645,88.734,78.224,19.939,18.394,13.421,46.15,0.1282,0.1429,91
5,5_21,5,glucose,3956,2259,5192,4076,3400,12469,106.18,83.357,69.532,28.81,15.732,9.998,22.7,0.0631,0.3491,106
5,5_21,5,ketone,5916,3477,7589,6620,6159,19897,97.261,84.842,78.934,23.136,16.442,13.728,18.95,0.0526,0.1959,97
6,6_21,4,blood,5965,3879,6758,6551,5829,19009,90.657,87.88,78.194,19.406,17.954,13.408,45,0.125,0.1333,90
6,6_21,6,protein,6527,3705,5734,6024,5384,16960,86.213,90.573,80.95,17.115,19.361,14.621,84,0.2333,0.1111,90
6,6_21,6,glucose,5624,4125,8178,7367,6623,21779,95.752,86.257,77.546,22.249,17.136,13.132,30,0.0833,0.1895,95
1,1_22,1,blood,2843,4483,9058,6778,4473,20400,113.225,84.725,55.912,33.829,16.386,5.797,30,0.0833,0.5133,113
1,1_22,1,pH,3431,3136,9217,6474,5588,20907,112.419,78.963,68.156,33.23,13.74,9.51,13.64,0.0379,0.3929,112
1,1_22,1,protein,4737,4609,9028,7872,6674,23302,98.796,86.145,73.035,24.059,17.081,11.305,31.2,0.0867,0.2551,98
1,1_22,1,glucose,8546,3445,5470,6000,5805,17105,81.546,89.448,86.54,14.892,18.765,17.278,157.5,0.4375,0.0899,89
1,1_22,1,ketone,5629,4939,9629,8742,7832,25913,94.755,86.027,77.072,21.674,17.022,12.932,31.76,0.0882,0.1809,94
2,2_22,2,pH,4401,4628,9762,8116,6848,24372,102.138,84.916,71.649,26.146,16.478,10.776,25.16,0.0699,0.3039,102
2,2_22,2,protein,3606,4698,6968,6368,4222,17493,101.574,92.828,61.545,25.787,20.589,7.369,46.5,0.1292,0.396,101
2,2_22,2,glucose,5722,4328,7396,7170,6268,20451,92.219,89.401,78.155,20.253,18.741,13.391,47.14,0.131,0.1522,92
2,2_22,2,ketone,3333,2739,8616,5904,5167,19357,113.503,77.777,68.068,34.038,13.23,9.48,12,0.0333,0.3982,113
3,3_22,3,pH,3258,3435,5958,4929,3293,14124,107.568,88.99,59.453,29.761,18.526,6.759,36.25,0.1007,0.4486,107
3,3_22,3,protein,4217,4729,7254,6851,5095,18949,97.618,92.195,68.564,23.349,20.24,9.653,49.66,0.1379,0.299,97
3,3_22,3,glucose,5409,4656,8281,7775,6732,22413,94.216,88.459,76.592,21.367,18.251,12.732,40,0.1111,0.1915,94
3,3_22,3,ketone,3602,2532,8111,5617,5055,18337,112.794,78.112,70.296,33.508,13.373,10.275,11.43,0.0317,0.375,112
4,4_22,2,blood,4156,4588,6890,6545,4789,18335,95.825,91.027,66.605,22.291,19.605,8.978,51.72,0.1437,0.3053,95
4,4_22,4,pH,5609,4406,7744,7373,6444,21357,92.462,88.033,76.941,20.387,18.032,12.877,45,0.125,0.1739,92
4,4_22,4,protein,5192,3723,4800,5253,4112,14209,86.143,94.272,73.795,17.08,21.399,11.601,82.86,0.2302,0.2234,94
4,4_22,4,glucose,4923,3797,7358,6503,5572,19128,98.091,86.693,74.282,23.633,17.354,11.794,30,0.0833,0.2449,98
4,4_22,4,ketone,2710,629,5570,3112,3380,11646,121.96,68.14,74.008,40.737,9.505,11.685,353.21,0.9811,0.438,121
5,5_22,3,blood,5570,4755,8097,7815,6764,22483,91.835,88.637,76.717,20.043,18.343,12.784,48,0.1333,0.1648,91
5,5_22,5,pH,10600,1979,3301,3669,3744,10625,79.224,88.056,89.856,13.854,18.044,18.98,186,0.5167,0.1124,89
5,5_22,5,protein,5747,4531,7255,7272,6273,20542,90.061,90.272,77.87,19.089,19.201,13.27,60,0.1667,0.1444,90
5,5_22,5,glucose,3413,1795,4377,3250,2614,10088,110.64,82.152,66.076,31.931,15.17,8.801,21.82,0.0606,0.4,110
5,5_22,5,ketone,6065,2437,6099,5049,4852,15606,99.657,82.5,79.281,24.587,15.331,13.879,9,0.025,0.202,99
6,6_22,4,blood,5886,4216,7644,7247,6477,21236,91.788,87.021,77.775,20.017,17.519,13.229,42.86,0.119,0.1538,91
6,6_22,6,protein,6323,4073,6696,6769,6061,19336,88.306,89.268,79.931,18.172,18.672,14.166,66,0.1833,0.1124,89
6,6_22,6,glucose,3371,1212,4038,2732,2444,9075,113.464,76.767,68.674,34.009,12.805,9.692,10.67,0.0296,0.3982,113
1,1_23,1,blood,3487,4772,9438,7581,5642,22510,106.916,85.88,63.914,29.312,16.95,8.099,30.7,0.0853,0.4057,106
1,1_23,1,pH,4485,4082,9342,7555,6570,23113,103.068,83.352,72.485,26.745,15.73,11.093,21.29,0.0591,0.301,103
1,1_23,1,protein,3445,4867,7785,6780,4518,19037,104.28,90.818,60.518,27.538,19.493,7.066,40.91,0.1136,0.4231,104
1,1_23,1,glucose,6877,4371,7624,7614,7065,21933,88.639,88.523,82.14,18.344,18.284,15.164,60,0.1667,0.0682,88
1,1_23,1,ketone,5169,4156,8527,7432,6566,22462,96.803,84.372,74.541,22.864,16.216,11.897,27.27,0.0758,0.2292,96
2,2_23,2,pH,2161,3014,9016,5554,3859,18167,126.553,77.958,54.167,44.68,13.307,5.355,19.17,0.0532,0.5714,126
2,2_23,2,protein,4161,4931,8014,7341,5538,20657,98.929,90.621,68.364,24.14,19.387,9.583,44,0.1222,0.3061,98
2,2_23,2,glucose,5535,2927,4158,4394,3631,12021,88.203,93.209,77.024,18.12,20.801,12.912,78.75,0.2188,0.172,93
2,2_23,2,ketone,3920,3237,8837,6528,5734,20720,108.757,80.34,70.568,30.59,14.347,10.374,15.79,0.0439,0.3519,108
3,3_23,3,pH,4165,4193,7563,6618,5188,19108,100.93,88.319,69.235,25.38,18.179,9.891,36.77,0.1022,0.31,100
3,3_23,3,protein,4969,4807,8498,7844,6578,22619,95.804,88.431,74.158,22.279,18.237,11.745,40,0.1111,0.2211,95
3,3_23,3,glucose,4694,3515,5345,5224,4091,14380,94.783,92.637,72.546,21.69,20.483,11.116,54.55,0.1515,0.234,94
3,3_23,3,ketone,4986,4110,9382,7765,6968,23606,101.348,83.88,75.271,25.643,15.98,12.19,18.46,0.0513,0.2574,101
4,4_23,2,blood,4054,4485,6640,6303,4519,17627,96.057,91.182,65.374,22.427,19.688,8.569,50.32,0.1398,0.3229,96
4,4_23,4,pH,5600,4286,7452,7129,6212,20601,92.241,88.243,76.892,20.265,18.14,12.857,45,0.125,0.1739,92
4,4_23,4,protein,5167,3664,4619,5111,3966,13768,85.549,94.662,73.455,16.787,21.621,11.468,85.71,0.2381,0.2234,94
4,4_23,4,glucose,4777,3596,6976,6120,5190,18000,98.827,86.7,73.525,24.078,17.357,11.495,31.2,0.0867,0.2551,98
4,4_23,4,ketone,2571,577,5489,3034,3319,11472,122.01,67.44,73.775,40.778,9.263,11.593,353.45,0.9818,0.4508,122
5,5_23,3,blood,5323,4505,7153,7069,5915,19862,91.834,90.756,75.94,20.043,19.459,12.463,56.25,0.1562,0.1758,91
5,5_23,5,pH,12345,1725,2708,3202,3347,9020,76.557,90.522,94.621,12.717,19.334,21.598,193.33,0.537,0.1915,94
5,5_23,5,protein,5689,4226,6165,6468,5439,17745,88.593,92.947,78.16,18.32,20.655,13.394,77.14,0.2143,0.1522,92
5,5_23,5,glucose,5411,4313,8334,7532,6653,22112,96.109,86.861,76.724,22.457,17.438,12.787,30,0.0833,0.2083,96
5,5_23,5,ketone,6016,1797,5057,3995,3916,12482,103.312,81.616,80.002,26.904,14.924,14.197,2.61,0.0072,0.2233,103
6,6_23,4,blood,6657,2026,2548,3018,2610,8320,78.094,92.499,79.994,13.365,20.407,14.193,124.29,0.3452,0.1522,92
6,6_23,6,protein,5794,4375,7978,7517,6694,21921,92.806,87.443,77.869,20.577,17.732,13.269,40,0.1111,0.163,92
6,6_23,6,glucose,4262,1933,5106,3879,3458,12140,107.251,81.478,72.635,29.542,14.861,11.151,15.43,0.0429,0.3271,107
1,1_24,1,blood,3999,4983,9773,8173,6481,24202,102.971,86.113,68.286,26.683,17.065,9.556,31.76,0.0882,0.3333,102
1,1_24,1,pH,1620,1335,8130,4042,3285,15135,136.977,68.101,55.347,54.458,9.491,5.652,9.63,0.0267,0.5956,136
1,1_24,1,protein,3812,5025,8293,7356,5319,20775,101.791,90.29,65.287,25.925,19.211,8.541,41.67,0.1157,0.3564,101
1,1_24,1,glucose,6301,4607,8278,7998,7281,23219,90.912,87.837,79.963,19.543,17.932,14.179,43.64,0.1212,0.1222,90
1,1_24,1,ketone,5249,4319,8728,7683,6795,23099,96.352,84.816,75.013,22.599,16.43,12.086,25.71,0.0714,0.2188,96
2,2_24,2,pH,4037,4427,9853,7864,6539,23937,104.964,83.775,69.66,27.992,15.93,10.044,24,0.0667,0.3365,104
2,2_24,2,protein,3479,4563,6689,6071,3890,16735,101.924,92.507,59.274,26.009,20.412,6.708,47.14,0.131,0.4158,101
2,2_24,2,glucose,5719,4031,6760,6614,5756,18818,91.604,89.625,77.999,19.917,18.859,13.325,51.43,0.1429,0.1538,91
2,2_24,2,ketone,3264,2631,8506,5762,5058,19122,113.431,76.839,67.451,33.984,12.835,9.266,11.74,0.0326,0.4071,113
3,3_24,3,pH,4699,4617,8511,7606,6318,22162,97.929,87.516,72.696,23.535,17.769,11.174,36,0.1,0.2577,97
